movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20163164,본 투 비 블루,Born to Be Blue,,97,2015,20160609,개봉,장편,,,,드라마,캐나다|영국|미국,로버트 뷔드로,에단 호크|카르멘 에조고,,그린나래미디어(주)
20136888,강남 1970,Gangnam Blues,,135,2014,20150121,개봉,장편,,,,액션|드라마,한국,유하,이민호|김래원|정진영|설현|유승목,(주)모베라픽처스|(주)쇼박스,(주)쇼박스
20156161,백 투 더 비기닝,Back to the beginning,,106,2014,20150226,개봉,장편,,,,SF|스릴러,미국,딘 이스라엘리트,조니 웨스턴|소피아 블랙 디엘리아|샘 러너|앨런 에반젤리스타|버지니아 가드너,,롯데쇼핑㈜롯데엔터테인먼트
20144801,버드맨,Birdman or The Unexpected Virtue of Ignorance,,119,2014,20150305,개봉,장편,,,,코미디|드라마,미국,알레한드로 곤잘레스 이냐리투,마이클 키튼|에드워드 노튼|엠마 스톤|나오미 왓츠,,이십세기폭스코리아(주)
20142406,탐정 홍길동: 사라진 마을,The Phantom Detective,,125,2016,20160504,개봉,장편,,,,드라마|액션,한국,조성희,이제훈|김성균|박근형|정성화|고아라,(주)영화사비단길,(주)씨제이이엔엠
20162925,더 보이,The Boy,,97,2015,20160601,개봉,장편,,,,공포(호러)|스릴러,미국,윌리엄 브렌트 벨,로렌 코핸|루퍼트 에반스,,(주)리틀빅픽쳐스
20150977,좋아해줘,Like for Likes,,122,2015,20160217,개봉,장편,,,,멜로/로맨스|코미디,한국,박현진,이미연|최지우|김주혁|유아인|강하늘,리양필름(주)|(주)제이케이필름,(주)씨제이이엔엠
20140193,서부전선,The Long Way Home,,111,2015,20150924,개봉,장편,,,,전쟁|드라마,한국,천성일,설경구|여진구|이경영|정성화|정인기,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트
20157065,맥베스,Macbeth,,112,2015,20151203,개봉,장편,,,,드라마,영국|프랑스|미국,저스틴 커젤,마이클 패스벤더|마리옹 꼬띠아르,,판씨네마(주)
20156402,채피,Chappie,,120,2015,20150312,개봉,장편,,,,액션|스릴러,미국,닐 블롬캠프,휴 잭맨|샬토 코플리|시고니 위버|데브 파텔,,유니버설픽쳐스인터내셔널 코리아(유)
20142561,7번째 아들,Seventh Son,,102,2014,20150211,개봉,장편,,,,어드벤처|가족|판타지,미국|영국|캐나다,세르게이 보드로프,제프 브리지스|줄리안 무어|벤 반스,,유니버설픽쳐스인터내셔널 코리아(유)
20150567,스타트렉 비욘드,Star Trek Beyond,,122,2016,20160817,개봉,장편,,,,액션|SF,미국,저스틴 린,크리스 파인|사이먼 페그|조 샐다나|재커리 퀸토|칼 어번,,롯데쇼핑㈜롯데엔터테인먼트
20133681,태양을 쏴라,Heartbreak Hotel,,86,2014,20150319,개봉,장편,,,,멜로/로맨스,한국,김태식,강지환|윤진서|안석환|박정민|윤성준,필름라인,(유)조이앤시네마
20152372,아마조니아,Amazonia,,82,2012,20150805,개봉,장편,,,,다큐멘터리,프랑스|브라질,티에리 라고베르트,,,(주)영화사 빅|(주)버킷스튜디오
20152264,어느 하녀의 일기,Diary Of A Chambermaid,Journal d'une femme de chambre,96,2015,20150806,개봉,장편,,,,드라마,프랑스|벨기에,브누와 쟉꼬,레아 세이두|뱅상 랭동,,주식회사 씨네룩스
20150902,대배우,THE GREAT ACTOR,,108,2015,20160330,개봉,장편,,,,코미디,한국,석민우,오달수|윤제문|이경영|진경|조남희,주식회사 영화사다,(주)대명문화공장|(주)리틀빅픽쳐스
20149037,주피터 어센딩,Jupiter Ascending,,127,2014,20150205,개봉,장편,,,,SF|액션|어드벤처,미국,릴리 워쇼스키|라나 워쇼스키,밀라 쿠니스|채닝 테이텀|숀 빈|테리 길리엄|배두나,,워너브러더스 코리아(주)
20162207,도성풍운 3,From Vegas To Macau III,澳门风云 3,113,2016,20161130,개봉,장편,,,,코미디|드라마,홍콩,왕정,주윤발|유덕화,,(주)드림팩트엔터테인먼트
20136869,은밀한 유혹,Perfect Proposal,,110,2015,20150604,개봉,장편,,,,멜로/로맨스|범죄,한국,윤재구,임수정|유연석|곽민호|이경영|박철민,(주)영화사비단길|(주)수필름,(주)씨제이이엔엠
20158704,언프렌디드: 친구삭제,Unfriended,,82,2015,20150507,개봉,장편,,,,공포(호러)|스릴러,미국,레오 가브리아제,샐리 헤닝|모세 제이콥 스톰|윌 펠츠|헤더 소서맨,,유니버설픽쳐스인터내셔널 코리아(유)
20150972,굿바이 싱글,Familyhood,,119,2016,20160629,개봉,장편,,,,코미디|드라마,한국,김태곤,김혜수|마동석|김현수|김용건|서현진,호두앤유 엔터테인먼트(주)|(주)영화사람,(주)쇼박스
20154910,터널,Tunnel,,126,2016,20160810,개봉,장편,,,,드라마,한국,김성훈,하정우|배두나|오달수|김종수|조현철,(주)어나더썬데이|(주)비에이엔터테인먼트,(주)쇼박스
20157096,보루토 - 나루토 더 무비,BORUTO NARUTO THE MOVIE,,95,2015,20151210,개봉,장편,,,,애니메이션,일본,야마시타 히로유키,산페이 유코|키쿠치 코코로|타케우치 준코|스기야마 노리아키|키지마 류이치,,와이드 릴리즈(주)
20158482,동주,DONGJU; The Portrait of A Poet,,110,2015,20160217,개봉,장편,,,,드라마,한국,이준익,강하늘|박정민|김인우|최홍일|김정팔,(주) 루스이소니도스,메가박스중앙(주) 플러스엠 엔터테인먼트
20152866,아메리칸 울트라,American Ultra,,95,2015,20150827,개봉,장편,,,,액션|코미디,미국,니마 누리자데,제시 아이젠버그|크리스틴 스튜어트|코니 브리튼|토퍼 그레이스|월튼 고긴스,,(주)씨제이이엔엠
20157394,팔로우,It Follows,,99,2014,20150402,개봉,장편,,,,공포(호러),미국,데이빗 로버트 밋첼,마이카 먼로|키어 길크리스|다니엘 조바토|제이크 웨어리,,(주)영화사오원|(주)브리즈픽처스
20166541,달빛궁궐,Lost in the moonlight,,80,2016,20160907,개봉,장편,,,,애니메이션|판타지|어드벤처,한국,김현주,김서영|이하늬|권율|김슬기|신용우,스튜디오홀호리(주)|(주)콘텐츠판다,(주)넥스트엔터테인먼트월드(NEW)
20144481,타임 패러독스,Predestination,,97,2014,20150107,개봉,장편,,,,SF|스릴러,호주,마이클 스피어리그|피터 스피어이그,에단 호크|노아 테일러|사라 스누크,,(유)조이앤시네마
20144641,판도라,Pandora,,135,2016,20161207,개봉,장편,,,,드라마|스릴러,한국,박정우,김남길|김영애|문정희|정진영|이경영,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW)
20156704,드래곤 블레이드,Dragon Blade,天將雄師,127,2015,20150312,개봉,장편,,,,액션|어드벤처,중국,이인항,성룡|존 쿠삭|애드리언 브로디|최시원,,롯데쇼핑㈜롯데엔터테인먼트
20142855,성난 변호사,The Advocate : A Missing Body,,116,2015,20151008,개봉,장편,,,,범죄|액션,한국,허종호,이선균|김고은|임원희|장현성|최재웅,(주)씨제이이엔엠|(주)영화사 빛나는 제국|우수영화사,(주)씨제이이엔엠
20159643,글로리데이,One Way Trip,,92,2015,20160324,개봉,장편,,,,드라마,한국,최정열,지수|김준면|류준열|김희찬|김동완,(주)보리픽쳐스,(주)엣나인필름
20164388,스노우타임,SNOWTIME!,,71,2015,20161215,개봉,장편,,,,애니메이션|가족,캐나다,장 프랑소아 풀리오,,,(주)영화사 빅
20140207,꼬마 유령,The Little Ghost,Das kleine Gespenst,92,2013,20150611,개봉,장편,,,,판타지|가족,독일|스위스,알랑 그스포너,,,(주)영화사오원
20162206,브루클린,Brooklyn,,111,2016,20160421,개봉,장편,,,,드라마|멜로/로맨스,미국,존 크로울리,시얼샤 로넌|도널 글리슨,,이십세기폭스코리아(주)
20158461,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,Crayon Shin-chan: Gachinko! Gyakusyu no Robo Tochan!!,,96,2014,20150423,개봉,장편,,,,애니메이션|코미디|어드벤처,일본,타카하시 와타루,김연우,,(주)이수C&E
20153022,더 매직: 리틀톰과 도둑공주,Tom Little and The Magic Mirror,Menique y el espejo magico,78,2014,20150924,개봉,장편,,,,애니메이션|판타지|뮤지컬,스페인|쿠바,어네스토 파드롱,,,㈜코리아스크린|와이드 릴리즈(주)
20163137,나의 소녀시대,Our Times,我的少女时代,134,2015,20160512,개봉,장편,,,,멜로/로맨스|드라마,대만,프랭키 첸,송운화|왕대륙,,오드
20167154,드림 쏭,Rock Dog,,89,2016,20160914,개봉,장편,,,,애니메이션,미국,애쉬 브래넌,J.K. 시몬스|루크 윌슨|에디 이자드|맷 딜런,,(주)이수C&E
