movieCd,salesAcc,audiAcc,movieNm_box,actors,directors,genres,nations,repNationNm,productionCompanies
20240398,347835200,42778,파과,이혜영|김성철|연우진|김무열|신시아,민규동,액션|드라마|미스터리,한국,,(주)수필름
20240479,108127400,11413,타로,조여정|김진영|고규필|안성진,,공포(호러)|미스터리,한국,,영화사 우상|주식회사 스튜디오 창창
20240513,59353060,7311,에드워드 호퍼,,필 그랩스키,다큐멘터리,영국,,
20240541,162477855,19344,언더더씨: 마법 산호초를 찾아서,,,애니메이션,독일,,
20240561,55381300,5842,부전시장,전무송|고인배|남경읍|서갑숙|조은숙,김시우,드라마,한국,,이로이웍스
20240614,3882675480,403947,퇴마록,최한|남도형|정유정|김연우|홍승효,김동철,애니메이션|액션|미스터리,한국,,(주)로커스
20240669,996245806,100701,비틀쥬스 비틀쥬스,마이클 키튼|위노나 라이더|캐서린 오하라|제나 오르테가|모니카 벨루치,팀 버튼,코미디|판타지|공포(호러),미국,,
20240735,86489200,12709,러브 라이즈 블리딩,크리스틴 스튜어트|케이트 오브라이언|에드 해리스|데이브 프랑코|지나 말론,로즈 글래스,범죄|멜로/로맨스,미국,,
20240737,25787167500,2802822,모아나 2,아우이 크라발호|드웨인 존슨,데이브 데릭 주니어,애니메이션,미국|캐나다,,
20240774,51080600,8009,4월이 되면 그녀는,사토 타케루|나가사와 마사미|모리 나나,,멜로/로맨스|드라마,일본,,
20240781,310480013,33283,플라이 미 투 더 문,스칼렛 요한슨|채닝 테이텀|우디 해럴슨,그랙 버랜티,멜로/로맨스|코미디,미국|영국,,
20240850,658816700,76426,극장판 도라에몽: 진구의 지구 교향곡,,이마이 카즈아키,애니메이션,일본,,
20240855,369724700,40070,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,하성용|정재헌|엄상현|김율|유동균,,애니메이션,영국,,
